Scenario,Model,Accuracy,Precision,Recall,F1_Score,Confusion_Matrix
"S1: TFIDF(2000, 1-2) + MinMax",Random Forest,0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S1: TFIDF(2000, 1-2) + MinMax",Logistic Regression,0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S1: TFIDF(2000, 1-2) + MinMax",SVM (Linear),0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S1: TFIDF(2000, 1-2) + MinMax",SVM (RBF),0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S1: TFIDF(2000, 1-2) + MinMax",SVM (Poly),0.870748299,0.765432099,1,0.867132867,"TN=66, FP=19, FN=0, TP=62"
"S2: TFIDF(5000, 1-2) + MinMax",Random Forest,0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S2: TFIDF(5000, 1-2) + MinMax",Logistic Regression,0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S2: TFIDF(5000, 1-2) + MinMax",SVM (Linear),0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S2: TFIDF(5000, 1-2) + MinMax",SVM (RBF),0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S2: TFIDF(5000, 1-2) + MinMax",SVM (Poly),0.863945578,0.756097561,1,0.861111111,"TN=65, FP=20, FN=0, TP=62"
"S3: TFIDF(2000, 1-3) + MinMax",Random Forest,0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S3: TFIDF(2000, 1-3) + MinMax",Logistic Regression,0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S3: TFIDF(2000, 1-3) + MinMax",SVM (Linear),0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S3: TFIDF(2000, 1-3) + MinMax",SVM (RBF),0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S3: TFIDF(2000, 1-3) + MinMax",SVM (Poly),0.863945578,0.756097561,1,0.861111111,"TN=65, FP=20, FN=0, TP=62"
"S4: TFIDF(2000, 1-2) No MinMax",Random Forest,0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S4: TFIDF(2000, 1-2) No MinMax",Logistic Regression,0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S4: TFIDF(2000, 1-2) No MinMax",SVM (Linear),0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S4: TFIDF(2000, 1-2) No MinMax",SVM (RBF),0.93877551,0.873239437,1,0.932330827,"TN=76, FP=9, FN=0, TP=62"
"S4: TFIDF(2000, 1-2) No MinMax",SVM (Poly),0.870748299,0.765432099,1,0.867132867,"TN=66, FP=19, FN=0, TP=62"
"S5: TFIDF(2000, 1-2) + MinMax + SVD",Random Forest,0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S5: TFIDF(2000, 1-2) + MinMax + SVD",Logistic Regression,0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S5: TFIDF(2000, 1-2) + MinMax + SVD",SVM (Linear),0.931972789,0.861111111,1,0.925373134,"TN=75, FP=10, FN=0, TP=62"
"S5: TFIDF(2000, 1-2) + MinMax + SVD",SVM (RBF),0.945578231,0.885714286,1,0.939393939,"TN=77, FP=8, FN=0, TP=62"
"S5: TFIDF(2000, 1-2) + MinMax + SVD",SVM (Poly),0.884353741,0.784810127,1,0.879432624,"TN=68, FP=17, FN=0, TP=62"
S6: 5-Fold Stratified CV,Random Forest,0.973578947,0.959336518,1,0.979033673,N/A (Aggregated CV)
S6: 5-Fold Stratified CV,Logistic Regression,0.968315789,0.951265306,1,0.974867065,N/A (Aggregated CV)
S6: 5-Fold Stratified CV,SVM (Linear),0.973578947,0.959013605,1,0.978946435,N/A (Aggregated CV)
S6: 5-Fold Stratified CV,SVM (RBF),0.968315789,0.951346939,1,0.974868421,N/A (Aggregated CV)
S6: 5-Fold Stratified CV,SVM (Poly),0.931368421,0.903276856,0.995652174,0.946877348,N/A (Aggregated CV)
